product_id,product_name,category,unit_price
1,Multi-layered multi-state flexibility,Books,394.92
2,Configurable upward-trending interface,Home & Kitchen,145.01
3,Configurable intermediate portal,Home & Kitchen,292.06
4,Enterprise-wide needs-based frame,Toys,78.55
5,Inverse bi-directional artificial intelligence,Sports,169.56
6,Inverse stable frame,Sports,466.76
7,Integrated local portal,Clothing,123.21
8,Universal interactive concept,Books,388.89
9,Team-oriented leadingedge hardware,Electronics,239.12
10,Organized 6thgeneration superstructure,Books,333.53
11,Multi-channeled reciprocal Internet solution,Toys,250.19
12,Grass-roots scalable utilization,electronics,482.85
13,Centralized asynchronous secured line,Home & Kitchen,437.72
14,Sharable impactful hierarchy,  BOOKS  ,455.67
15,Profound value-added service-desk,Electronics,207.94
16,Diverse 4thgeneration circuit,Toys,42.04
17,Robust systematic toolset,Home & Kitchen,347.89
18,Organic 5thgeneration capacity,  TOYS  ,167.64
19,Cloned disintermediate time-frame,Toys,193.1
20,Stand-alone high-level hierarchy,Home & Kitchen,444.28
21,Networked non-volatile alliance,Books,22.77
22,Robust coherent service-desk,Electronics,343.78
23,Organized holistic hub,Home & Kitchen,374.65
24,Organic well-modulated archive,Books,381.38
25,Re-engineered client-driven moderator,Toys,224.62
26,Multi-lateral hybrid functionalities,Toys,19.33
27,Streamlined even-keeled encryption,Home & Kitchen,150.22
28,Customizable 4thgeneration support,Home & Kitchen,125.88
29,Enterprise-wide modular model,Books,397.3
30,Networked next generation capability,clothing,306.7
31,Fundamental zero-defect firmware,Books,124.21
32,Triple-buffered local data-warehouse,sports,233.27
33,Seamless executive solution,Home & Kitchen,335.09
34,Pre-emptive dedicated capability,Books,340.42
35,Devolved asynchronous knowledge user,  CLOTHING  ,472.89
36,Enhanced transitional intranet,Sports,481.2
37,Cross-group systemic functionalities,Toys,423.43
38,Synchronized grid-enabled strategy,Clothing,427.4
39,Cloned neutral moratorium,Electronics,288.1
40,Implemented exuding complexity,Sports,351.14
41,Universal tertiary standardization,Electronics,330.82
42,Sharable context-sensitive utilization,  HOME & KITCHEN  ,433.21
43,Multi-lateral multimedia definition,Toys,455.76
44,Decentralized dedicated utilization,Toys,452.56
45,Devolved disintermediate utilization,Home & Kitchen,118.91
46,Proactive 4thgeneration hierarchy,Home & Kitchen,99.12
47,Reactive object-oriented hub,Home & Kitchen,361.86
48,Persistent neutral capacity,Toys,72.71
49,Seamless background architecture,Electronics,324.94
50,Integrated hybrid structure,Home & Kitchen,21.52
